SID,Name_E,Name_G,PID,TCode,DCode,Code_16,Phy_Vcode,Is_Tribal,Is_Notional
5324,SHC BAHADUR,SHC BAHADUR,922,0260,41,17,,0,0
5326,SHC Chini,SHC Chini,906,0295,45,31,,0,0
5327,SHC Seeregaon,SHC Seeregaon,1093,0256,40,30,,0,0
5328,SHC Pipariya,SHC Pipariya,956,0254,39,3,,0,0
5329,SHC Shivpurwa,SHC Shivpurwa,879,0324,51,18,,0,0
5330,SHC BARGAON,SHC BARGAON,944,0260,41,18,,0,0
5331,SHC Dihuli,SHC Dihuli,972,0321,50,32,,0,0
5332,SHC Suda,SHC Suda,879,0324,51,19,,0,0
5333,SHC BARAUDI,SHC BARAUDI,940,0260,41,19,,0,0
5334,SHC Gangai,SHC Gangai,1091,0256,40,31,,0,0
5335,SHC Bhanpurakala,SHC Bhanpurakala,938,0247,38,21,,0,0
