PID,Name_E,Name_G,CID,DCode,TCode,BID,Code_16,Phy_VCode,Facility_Type,Is_Tribal,Is_Notional
33,PHC GARHRAGHUNATHPUR,PHC GARHRAGHUNATHPUR,,12,0085,31,502,0,1,0,False
34,PHC BALKUSH,PHC BALKUSH,,12,0085,31,503,0,1,0,False
35,PHC MANIADIH,PHC MANIADIH,,12,0085,31,504,0,1,0,False
36,PHC TUNDI MAHARAJGANJ,PHC TUNDI MAHARAJGANJ,,12,0085,31,505,0,1,0,False
37,CHC GOBINDPUR,CHC GOBINDPUR,,12,0089,27,501,,2,0,False
38,PHC TILAIYA,PHC TILAIYA,,12,0089,27,502,0,1,0,False
39,PHC NAGARKIYARI,PHC NAGARKIYARI,,12,0089,27,503,0,1,0,False
40,PHC BIRAJPUR,PHC BIRAJPUR,,12,0089,27,504,0,1,0,False
41,PHC CHUTIYARO,PHC CHUTIYARO,,12,0089,27,505,0,1,0,False
42,CHC TOPCHANCHI,CHC TOPCHANCHI,,12,0087,30,501,,2,0,False
43,PHC TOPCHANCHI,PHC TOPCHANCHI,,12,0087,30,502,0,1,0,False
44,PHC RAMAKUNDA,PHC RAMAKUNDA,,12,0087,30,503,0,1,0,False
45,PHC GOMO,PHC GOMO,,12,0087,30,504,0,1,0,False
46,PHC ROWM,PHC ROWM,,12,0087,30,505,0,1,0,False
47,CHC BAGHMARA,CHC BAGHMARA,,12,0088,24,501,,2,0,False
48,PHC RAJGANJ,PHC RAJGANJ,,12,0088,24,502,0,1,0,False
49,PHC KATRAS,PHC KATRAS,,12,0088,24,503,0,1,0,False
50,PHC JOGTA,PHC JOGTA,,12,0088,24,504,0,1,0,False
51,PHC MAHUDA,PHC MAHUDA,,12,0088,24,505,0,1,0,False
52,CHC JHARIA-CUM-JORAPOKHAR,CHC JHARIA-CUM-JORAPOKHAR,,12,0091,187,501,0,2,0,False
53,PHC SINDRI,PHC SINDRI,,12,0091,187,502,0,1,0,False
54,PHC BHAGA,PHC BHAGA,,12,0091,187,503,,1,0,False
55,PHC JHARIA,PHC JHARIA,,12,0091,187,504,0,1,0,False
56,CHC DHANBAD SADAR,CHC DHANBAD SADAR,,12,0090,26,501,0,2,0,False
57,PHC KENDUADIH,PHC KENDUADIH,,12,0090,26,502,,1,0,False
58,CHC SHIKARIPARA,CHC SHIKARIPARA,,23,0177,40,501,,2,0,False
59,PHC SARASDANGAL,PHC SARASDANGAL,,23,0177,40,502,,1,0,False
61,PHC RAJBANDH,PHC RAJBANDH,,23,0177,40,503,,1,0,False
62,CHC SARAIYAHAT,CHC SARAIYAHAT,,23,0172,39,501,,2,0,False
63,PHC HANSDIHA,PHC HANSDIHA,,23,0172,39,502,,1,0,False
64,PHC DIGGHI,PHC DIGGHI,,23,0172,39,503,,1,0,False
65,PHC MOHARA,PHC MOHARA,,23,0172,39,504,,1,0,False
66,PHC KENDUA,PHC KENDUA,,23,0172,39,505,,1,0,False
67,CHC SADAR DUMKA,CHC SADAR DUMKA,,23,0179,32,501,,2,0,False
68,PHC KARAMDIH,PHC KARAMDIH,,23,0179,32,502,,1,0,False
69,PHC AASANSOL,PHC AASANSOL,,23,0179,32,503,0,1,0,False
